Glove Case
Fracture Case
Dreams & Nightmares Case
Recoil Case
Revolution Case
Kilowatt Case
Fever Case
Sealed Genesis Terminal
Spectrum 2 Case
Danger Zone Case
AK-47 | Slate (Battle-Scarred)
Sealed Graffiti | Bling (Monarch Blue)
★ Hydra Gloves | Emerald (Battle-Scarred)
StatTrak™ P250 | Contaminant (Factory New)
★ Moto Gloves | Blood Pressure (Field-Tested)
★ Hand Wraps | Duct Tape (Battle-Scarred)
★ Specialist Gloves | Field Agent (Field-Tested)
M4A4 | Cyber Security (Battle-Scarred)
★ Driver Gloves | Queen Jaguar (Field-Tested)
★ Driver Gloves | Rezan the Red (Field-Tested)
★ Moto Gloves | Finish Line (Battle-Scarred)
Nova | Clear Polymer (Factory New)
Souvenir P2000 | Panther Camo (Field-Tested)
Five-SeveN | Forest Night (Well-Worn)
Souvenir Nova | Army Sheen (Factory New)
Souvenir FAMAS | Faulty Wiring (Minimal Wear)
StatTrak™ UMP-45 | Exposure (Factory New)
Souvenir XM1014 | Elegant Vines (Factory New)
Souvenir SG 553 | Desert Blossom (Battle-Scarred)
Souvenir Negev | Infrastructure (Field-Tested)
Glock-18 | Groundwater (Minimal Wear)
Sticker | huNter- | Shanghai 2024
Galil AR | Chromatic Aberration (Battle-Scarred)
MAC-10 | Button Masher (Factory New)
StatTrak™ Negev | dev_texture (Minimal Wear)
USP-S | The Traitor (Battle-Scarred)
StatTrak™ Desert Eagle | Trigger Discipline (Minimal Wear)
StatTrak™ Negev | dev_texture (Well-Worn)
StatTrak™ Galil AR | Chromatic Aberration (Well-Worn)
MP9 | Food Chain (Factory New)
Sticker | Kitted Out
Music Kit | Jesse Harlin, Astro Bellum
Sticker | iM | Paris 2023
Sticker | nitr0 | Paris 2023
Sticker | jkaem | Paris 2023
Sticker | Bad News Eagles | Rio 2022
Sticker | bLitz | Paris 2023
Sticker | torzsi | Paris 2023
Sticker | STYKO | Paris 2023
Sticker | hardzao | Paris 2023
Sticker | zevy | Paris 2023
Sticker | Legacy | Copenhagen 2024
MP9 | Slide (Well-Worn)
Sticker | kRaSnaL | Paris 2023
Sticker | Spinx | Shanghai 2024
Sticker | KRIMZ | Paris 2023
Sticker | Cypher | Paris 2023
Sticker | sjuush | Paris 2023
Sticker | torzsi | Austin 2025
Sticker | mzinho | Austin 2025
Sticker | huNter- | Budapest 2025
Sticker | Senzu | Budapest 2025
MP9 | Pine (Battle-Scarred)
Sticker | Aleksib | Shanghai 2024
Sticker | NQZ | Copenhagen 2024
Sticker | rigoN | Antwerp 2022
Sticker | TeSeS | Paris 2023
Sticker | Techno4K | Budapest 2025
Sticker | fame | Copenhagen 2024
Sticker | mir | Copenhagen 2024
Sticker | Aleksib | Copenhagen 2024
Sticker | NAF | Austin 2025
PP-Bizon | Wood Block Camo (Battle-Scarred)
AUG | Commando Company (Battle-Scarred)
Sticker | WOOD7 | Antwerp 2022
Sticker | FaNg | Antwerp 2022
Sticker | biguzera (Glitter) | Paris 2023
Sticker | Brollan (Glitter) | Paris 2023
Sticker | saffee | Austin 2025
Sticker | Calyx | Antwerp 2022
Sticker | maden (Glitter) | Paris 2023
Sticker | FL1T | Austin 2025
FAMAS | Colony (Battle-Scarred)
MP9 | Bee-Tron (Battle-Scarred)
Sticker | nitr0 | Antwerp 2022
Sticker | hades | Antwerp 2022
Sticker | decenty | Copenhagen 2024
Sticker | fame | Austin 2025
Sticker | KENSi | Antwerp 2022
Rio 2022 Contenders Autograph Capsule
Sticker | hampus | Antwerp 2022
Sticker | apEX (Embroidered, Champion) | Budapest 2025
PP-Bizon | Wood Block Camo (Well-Worn)
P250 | Boreal Forest (Battle-Scarred)
Nova | Mandrel (Battle-Scarred)
Five-SeveN | Autumn Thicket (Well-Worn)
Sticker | jeorge | Austin 2025
Sticker | NQZ (Embroidered) | Budapest 2025
Sticker | Lake | Austin 2025
Sticker | qikert (Champion) | Rio 2022
Sticker | Bad News Eagles (Glitter) | Rio 2022
Sticker | yuurih | Austin 2025
PP-Bizon | Urban Dashed (Well-Worn)
Sticker | VINI | Stockholm 2021
Sticker | aliStair | Antwerp 2022
Sticker | Fnatic (Glitter) | Rio 2022
Sticker | rain | Antwerp 2022
Sticker | arT | Stockholm 2021
Sticker | YEKINDAR | Rio 2022
Sticker | zont1x (Glitter, Champion) | Shanghai 2024
Sticker | rigoN (Glitter) | Paris 2023
Sticker | dexter (Glitter) | Paris 2023
Sticker | HexT | Rio 2022
Sticker | bLitz | Rio 2022
Sticker | aNdu | Shanghai 2024
Sticker | Aleksib | Rio 2022
Sticker | sdy (Glitter) | Paris 2023
Sticker | JT (Glitter) | Paris 2023
Sticker | sjuush (Glitter) | Shanghai 2024
Sticker | apEX (Foil) | Austin 2025
Sticker | ROUX | Austin 2025
Sticker | Astralis (Holo) | 2020 RMR
MP5-SD | Lime Hex (Well-Worn)
Sticker | nitr0 | Berlin 2019
Sticker | Xyp9x | Antwerp 2022
Sticker | chopper (Glitter) | Shanghai 2024
Sealed Graffiti | Jump Shot (Shark White)
Sealed Graffiti | X-Knives (Violent Violet)
Sealed Graffiti | Backstab (Dust Brown)
Sticker | z4KR | Budapest 2025
Sealed Graffiti | Tilt (Desert Amber)
Sealed Graffiti | Eco (Tiger Orange)
Sticker | shox | Berlin 2019
Sticker | paiN Gaming | Stockholm 2021
Sealed Graffiti | GLHF (Tiger Orange)
Sticker | KEi (Glitter) | Paris 2023
Sticker | noway | Austin 2025
Sealed Graffiti | Chess King (Princess Pink)
Sticker | rain (Glitter) | Paris 2023
Sealed Graffiti | Death Sentence (Dust Brown)
Sealed Graffiti | Jump Shot (Tracer Yellow)
Sealed Graffiti | GLHF (Cash Green)
Souvenir SG 553 | Bleached (Battle-Scarred)
AUG | Surveillance (Field-Tested)
Sticker | saffee | Rio 2022
Sticker | sjuush | Rio 2022
Sealed Graffiti | Rage Mode (Blood Red)
Sticker | nitr0 | Austin 2025
Sealed Graffiti | Popdog (War Pig Pink)
Sticker | Aleksib | Budapest 2025
Sticker | Krad (Glitter) | Copenhagen 2024
Sticker | NertZ | Copenhagen 2024
Sticker | apEX (Glitter) | Antwerp 2022
Sticker | saffee (Glitter) | Paris 2023
Sticker | Team Liquid | Berlin 2019
Sticker | blameF | Shanghai 2024
Sticker | Battle Scarred
Sealed Graffiti | Speechless (Monarch Blue)
Sealed Graffiti | QQ (War Pig Pink)
Sealed Graffiti | GLHF (Bazooka Pink)
Sealed Graffiti | Cocky (Frog Green)
Sticker | FL1T (Glitter) | Copenhagen 2024
Poorly Drawn Capsule
Sticker | jabbi | Antwerp 2022
Sticker | MOUZ (Glitter) | Rio 2022
Sealed Graffiti | Quickdraw (Tracer Yellow)
Sticker | b1t (Glitter) | Shanghai 2024
Sealed Graffiti | GGWP (Violent Violet)
Sealed Graffiti | Speechless (SWAT Blue)
Sealed Graffiti | Ninja (Tracer Yellow)
Sealed Graffiti | Karambit (Bazooka Pink)
Sticker | nicoodoz | Copenhagen 2024
Souvenir UMP-45 | Mudder (Well-Worn)
SCAR-20 | Zinc (Well-Worn)
Sticker | sjuush | Copenhagen 2024
Sticker | DeStiNy | Berlin 2019
Sticker | electronic | Copenhagen 2024
Sealed Graffiti | Speechless (Princess Pink)
Sealed Graffiti | Mr. Teeth (Tracer Yellow)
Sticker | ROUX (Foil) | Austin 2025
Sealed Graffiti | King Me (SWAT Blue)
Sealed Graffiti | Karambit (Brick Red)
R8 Revolver | Leafhopper (Battle-Scarred)
USP-S | Night Ops (Factory New)
Warhammer 40,000 Traitor Astartes Sticker Capsule
Sticker | jeorge (Foil) | Austin 2025
Sticker | chelo (Glitter) | Antwerp 2022
Sticker | jambo (Glitter) | Shanghai 2024
Sticker | INS | Budapest 2025
Sealed Graffiti | Worry (Princess Pink)
Sealed Graffiti | GGWP (Bazooka Pink)
Sealed Graffiti | Lambda (Bazooka Pink)
XM1014 | Charter (Factory New)
SSG 08 | Prey (Factory New)
Sticker | Edward | London 2018
Sticker | gla1ve (Glitter) | Antwerp 2022
Sticker | ableJ | Berlin 2019
Sealed Graffiti | Tombstone (Frog Green)
Sticker | Goofy (Glitter) | Copenhagen 2024
Sticker | saffee (Foil) | Austin 2025
Sticker | ropz (Foil) | Austin 2025
Sticker | JBa | Austin 2025
Sawed-Off | Parched (Factory New)
Sticker | nawwk (Holo) | Paris 2023
Sticker | TRAVIS (Glitter) | Copenhagen 2024
Sticker | kabal (Glitter) | Antwerp 2022
Chicken Capsule
Sticker | b4rtiN (Glitter) | Copenhagen 2024
Sticker | max | Rio 2022
Sticker | n0rb3r7 (Glitter) | Copenhagen 2024
Sealed Graffiti | Sorry (Blood Red)
Sticker | floppy (Glitter) | Copenhagen 2024
StatTrak™ Tec-9 | Fubar (Battle-Scarred)
Stockholm 2021 Ancient Souvenir Package
AUG | Surveillance (Factory New)
Five-SeveN | Scumbria (Field-Tested)
Sticker | Ramz1kBO$$ | Berlin 2019
Sticker | forZe eSports | Berlin 2019
Sticker | NEKiZ (Glitter) | Copenhagen 2024
Sticker | Hello PP-Bizon
Sticker | rain (Glitter) | Antwerp 2022
Sticker | TACO | Rio 2022
CZ75-Auto | Tigris (Field-Tested)
CZ75-Auto | Circaetus (Battle-Scarred)
Sawed-Off | Full Stop (Factory New)
MP9 | Black Sand (Battle-Scarred)
CZ75-Auto | Jungle Dashed (Well-Worn)
Sticker | Jerry (Glitter) | Antwerp 2022
Sticker | Aerial | Berlin 2019
Sticker | Freeman | Berlin 2019
Sticker | TYLOO (Foil) | 2020 RMR
Sticker | Sphinx
Souvenir MAG-7 | Storm (Minimal Wear)
SG 553 | Bleached (Factory New)
StatTrak™ R8 Revolver | Grip (Field-Tested)
PP-Bizon | Night Ops (Well-Worn)
SG 553 | Lush Ruins (Factory New)
Galil AR | Blue Titanium (Factory New)
SCAR-20 | Trail Blazer (Battle-Scarred)
Sticker | Keoz | Berlin 2019
Sticker | EliGE (Glitter) | Antwerp 2022
Sticker | Jimpphat (Glitter) | Copenhagen 2024
Desert Eagle | Blue Ply (Factory New)
P250 | Forest Night (Well-Worn)
AUG | Wings (Factory New)
Sticker | Starry (Glitter) | Copenhagen 2024
Sticker | North (Holo) | Berlin 2019
Sticker | coldzera | Berlin 2019
Sticker | biguzera (Glitter) | Shanghai 2024
Sticker | Luck Skill
Sticker | OG (Gold) | Paris 2023
Sticker | YEKINDAR (Holo) | Paris 2023
UMP-45 | Gunsmoke (Battle-Scarred)
Nova | Sand Dune (Factory New)
MAC-10 | Sienna Damask (Field-Tested)
Dual Berettas | Switch Board (Factory New)
Sticker | AMANEK (Holo) | Stockholm 2021
Sticker | zorte (Holo) | Paris 2023
Sticker | TRY | Rio 2022
Sticker | The Mongolz (Gold) | Austin 2025
Sticker | FURIA (Holo) | Rio 2022
Sticker | qikert | Rio 2022
Desert Eagle | Heat Treated (Factory New)
PP-Bizon | Jungle Slipstream (Battle-Scarred)
Desert Eagle | The Bronze (Factory New)
Sticker | JDC (Glitter) | Shanghai 2024
Sticker | somebody | Berlin 2019
Sealed Graffiti | BEEP (Dust Brown)
Sticker | hallzerk (Glitter) | Shanghai 2024
Sticker | I Conquered
Sticker | nin9 (Glitter) | Antwerp 2022
Sticker | stanislaw (Foil) | Austin 2025
Negev | Terrain (Factory New)
Sticker | BOROS (Holo) | Paris 2023
P2000 | Urban Hazard (Battle-Scarred)
Sticker | aliStair (Glitter) | Rio 2022
Sticker | misutaaa (Holo) | Antwerp 2022
Sticker | Staehr (Glitter) | Rio 2022
Sticker | syrsoN | Rio 2022
Sticker | dupreeh (Holo, Champion) | Paris 2023
Sticker | G2 Esports | Berlin 2019
Sticker | Seeing Red
M249 | O.S.I.P.R. (Factory New)
Sticker | hades (Glitter) | Copenhagen 2024
Sticker | KSCERATO (Glitter) | Rio 2022
Sticker | NAF | Shanghai 2024
Sticker | stavn (Holo) | Stockholm 2021
Sticker | Viggo
Sticker | War Penguin
Sticker | torzsi (Holo) | Austin 2025
Sticker | HEROIC (Holo) | Austin 2025
Sticker | jL (Glitter, Champion) | Copenhagen 2024
Nova | Wood Fired (Well-Worn)
SG 553 | Phantom (Factory New)
Dual Berettas | Briar (Factory New)
Sealed Graffiti | 1G (Brick Red)
Sticker | kensizor (Foil) | Austin 2025
Paris 2023 Viewer Pass + 3 Souvenir Tokens
Sticker | Vitality (Gold) | Austin 2025
Sticker | mezii (Holo) | Shanghai 2024
Sticker | yuurih (Glitter) | Copenhagen 2024
Sticker | nafany (Holo) | Stockholm 2021
AUG | Stymphalian (Factory New)
AUG | Storm (Factory New)
Katowice 2019 Legends Autograph Capsule
Souvenir Charm | Budapest 2025 Highlight | frozen vs Vitality on Dust II
Sticker | olofmeister | London 2018
Patch | Metal Gold Nova Master
Sticker | Nodios (Holo) | Copenhagen 2024
Sticker | ENCE (Gold) | Paris 2023
Sealed Graffiti | BEEP (Brick Red)
Sticker | FURIA (Holo) | Antwerp 2022
Sealed Graffiti | Question Mark (Bazooka Pink)
Chef d'Escadron Rouchard | Gendarmerie Nationale
P2000 | Handgun (Well-Worn)
Nova | Exo (Field-Tested)
Dual Berettas | Stained (Battle-Scarred)
Souvenir CZ75-Auto | Nitro (Battle-Scarred)
Sticker | drop (Glitter) | Antwerp 2022
Sticker | rain | Katowice 2019
Sticker | Poorly Drawn Ava
Sticker | 9INE (Gold) | Paris 2023
D Squadron Officer | NZSAS
StatTrak™ Glock-18 | Sacrifice (Field-Tested)
Austin 2025 Inferno Souvenir Package
Music Kit |
Sticker | lux | Shanghai 2024
Sticker | Noble
Sticker | Hello M4A1-S
Souvenir Charm | Budapest 2025 Highlight | ropz vs FaZe on Overpass
Sticker | karrigan (Glitter) | Antwerp 2022
Sticker | spooke (Foil) | Austin 2025
USP-S | The Traitor (Field-Tested)
CZ75-Auto | Twist (Well-Worn)
MAC-10 | Button Masher (Well-Worn)
Souvenir Nova | Walnut (Battle-Scarred)
Souvenir Negev | Bulkhead (Factory New)
StatTrak™ SG 553 | Pulse (Field-Tested)
Sticker | Thug Life
Sticker | n0thing | Katowice 2019
Sticker | Basilisk
Sealed Graffiti | Uh Oh (Brick Red)
Dual Berettas | Urban Shock (Factory New)
StatTrak™ Negev | Desert-Strike (Factory New)
Sticker | Liazz (Glitter) | Rio 2022
Sticker | Norwi (Holo) | Antwerp 2022
Sealed Graffiti | Dizzy (Dust Brown)
Souvenir Charm | Budapest 2025 Highlight | mezii perfect read
Sealed Graffiti | Grimace (Tracer Yellow)
Sticker | Starry | Budapest 2025
Music Kit | Tree Adams and Ben Bromfield, M.U.D.D. FORCE
Sticker | Battlefield Portal
Sticker | mousesports (Holo) | Berlin 2019
Sealed Graffiti | Bock Bock (Tracer Yellow)
Sticker | yuurih (Glitter) | Rio 2022
Sticker | Summer | Berlin 2019
Sticker | SENER1 (Holo) | Paris 2023
Sticker | Liquid Fire
Sticker | Kaze (Glitter) | Shanghai 2024
Sticker | FalleN (Glitter) | Copenhagen 2024
Sticker | BIG (Holo) | Stockholm 2021
Sticker | slaxz- (Glitter) | Rio 2022
SSG 08 | Rapid Transit (Factory New)
USP-S | Cortex (Factory New)
SSG 08 | Ghost Crusader (Minimal Wear)
M4A1-S | Fade (Factory New)
StatTrak™ Tec-9 | Brother (Battle-Scarred)
P250 | Small Game (Well-Worn)
AUG | Death by Puppy (Factory New)
StatTrak™ UMP-45 | Riot (Minimal Wear)
Souvenir Charm | Budapest 2025 Highlight | ZywOo smoke Deagle
Souvenir Charm | Budapest 2025 Highlight | apEX A-site lockdown
CZ75-Auto | Eco (Well-Worn)
SG 553 | Ultraviolet (Field-Tested)
AUG | Torque (Factory New)
StatTrak™ M249 | Spectre (Factory New)
StatTrak™ MAG-7 | MAGnitude (Factory New)
Sticker | Avangar (Holo) | Katowice 2019
Sealed Graffiti | NT (Violent Violet)
Sealed Graffiti | Grimace (Brick Red)
Sticker | FaZe Clan | Katowice 2019
Sticker | Kyojin (Holo) | Stockholm 2021
SSG 08 | Dragonfire (Field-Tested)
Galil AR | Crimson Tsunami (Factory New)
Galil AR | Black Sand (Well-Worn)
MP7 | Bloodsport (Battle-Scarred)
MAG-7 | SWAG-7 (Minimal Wear)
StatTrak™ Tec-9 | Rebel (Factory New)
P2000 | Acid Etched (Factory New)
StatTrak™ Music Kit | Adam Beyer, Red Room
Sticker | MOUZ (Gold) | Austin 2025
Sticker | vexite (Embroidered) | Budapest 2025
SG 553 | Aerial (Factory New)
StatTrak™ CZ75-Auto | Twist (Well-Worn)
StatTrak™ R8 Revolver | Crimson Web (Battle-Scarred)
UMP-45 | Blaze (Factory New)
StatTrak™ AUG | Ricochet (Minimal Wear)
MAG-7 | Popdog (Battle-Scarred)
FAMAS | Rapid Eye Movement (Factory New)
Sealed Graffiti | Bock Bock (Jungle Green)
Sealed Graffiti | Okay (Tracer Yellow)
Sticker | DickStacy | Katowice 2019
StatTrak™ P250 | Supernova (Factory New)
PP-Bizon | Bamboo Print (Field-Tested)
StatTrak™ SG 553 | Ultraviolet (Field-Tested)
StatTrak™ PP-Bizon | Jungle Slipstream (Field-Tested)
Souvenir PP-Bizon | Carbon Fiber (Factory New)
Dual Berettas | Briar (Minimal Wear)
UMP-45 | Wild Child (Factory New)
StatTrak™ AUG | Amber Slipstream (Factory New)
P90 | Aeolian Light (Battle-Scarred)
Glock-18 | Trace Lock (Battle-Scarred)
Sealed Graffiti | Happy Cat (Battle Green)
Sealed Graffiti | Chef Kiss (Tracer Yellow)
Sticker | NQZ (Glitter) | Rio 2022
Sticker | Team SoloMid | Cluj-Napoca 2015
Sticker | Gambit Gaming (Foil) | Stockholm 2021
Sticker | tiziaN | Katowice 2019
Sticker | olofmeister (Foil) | Berlin 2019
Sticker | shox (Holo) | Stockholm 2021
Sticker | degster (Glitter) | Rio 2022
Sealed Graffiti | Rly (SWAT Blue)
Austin 2025 Nuke Souvenir Package
Sticker | biguzera (Holo) | Copenhagen 2024
Sticker | Ninjas in Pyjamas (Holo) | Rio 2022
Sticker | vexite (Foil) | Austin 2025
Sticker | dumau (Holo) | Copenhagen 2024
Sticker | decenty (Holo) | Austin 2025
Souvenir Charm | Austin 2025 Highlight | 910 Triple Kill vs FaZe
Sticker | HooXi (Holo) | Paris 2023
Sticker | jL (Holo) | Shanghai 2024
Sticker | 3DMAX (Holo) | Austin 2025
AWP | Ice Coaled (Factory New)
Souvenir MAC-10 | Calf Skin (Minimal Wear)
AUG | Death by Puppy (Minimal Wear)
USP-S | Monster Mashup (Field-Tested)
Souvenir M4A4 | Mainframe (Minimal Wear)
AUG | Radiation Hazard (Field-Tested)
StatTrak™ AWP | Phobos (Field-Tested)
SSG 08 | Necropos (Battle-Scarred)
Souvenir Charm | Austin 2025 Highlight | mzinho Double Mirage Kill
Souvenir Charm | Austin 2025 Highlight | Double From The Defender
AUG | Daedalus (Field-Tested)
Souvenir CZ75-Auto | Copper Fiber (Well-Worn)
Souvenir CZ75-Auto | Framework (Factory New)
StatTrak™ USP-S | Blood Tiger (Minimal Wear)
Five-SeveN | Case Hardened (Minimal Wear)
PP-Bizon | Death Rattle (Well-Worn)
Souvenir Galil AR | Hunting Blind (Battle-Scarred)
StatTrak™ UMP-45 | Corporal (Battle-Scarred)
Nova | Koi (Field-Tested)
G3SG1 | Orange Kimono (Minimal Wear)
Dual Berettas | Elite 1.6 (Battle-Scarred)
StatTrak™ Sawed-Off | Origami (Factory New)
Glock-18 | Gamma Doppler (Factory New)
StatTrak™ P250 | Supernova (Minimal Wear)
Souvenir SCAR-20 | Carbon Fiber (Factory New)
PP-Bizon | Harvester (Minimal Wear)
M4A4 | In Living Color (Battle-Scarred)
Souvenir XM1014 | Elegant Vines (Field-Tested)
StatTrak™ Glock-18 | Wraiths (Minimal Wear)
Sawed-Off | Fubar (Well-Worn)
Sticker | forZe eSports (Holo) | Antwerp 2022
Sticker | Lucaozy (Holo) | Austin 2025
Sticker | Eternal Fire (Holo) | Antwerp 2022
Sticker | biguzera (Holo) | Austin 2025
Sticker | felps (Gold) | Paris 2023
Sticker | dav1g (Gold) | Copenhagen 2024
Sticker | History (Embroidered) | Budapest 2025
Sticker | Eternal Fire (Holo) | Copenhagen 2024
Sticker | G2 Esports (Gold) | Paris 2023
Sticker | Yellow Jaggyfish
PP-Bizon | Urban Dashed (Factory New)
M4A4 | Griffin (Battle-Scarred)
StatTrak™ MP9 | Sand Scale (Field-Tested)
Souvenir P90 | Storm (Battle-Scarred)
StatTrak™ XM1014 | Quicksilver (Field-Tested)
Sawed-Off | Full Stop (Battle-Scarred)
Desert Eagle | Bronze Deco (Battle-Scarred)
Sealed Graffiti | Silver Bullet (Monarch Blue)
Sticker | device (Foil) | Berlin 2019
Sticker | The Bomber
P90 | Blind Spot (Factory New)
Sealed Graffiti | Dead Now (Princess Pink)
Sticker | Gambit Esports | London 2018
Sticker | nitr0 | Katowice 2019
Sealed Graffiti | Thoughtfull (SWAT Blue)
Sealed Graffiti | Silver Bullet (Dust Brown)
Sticker | BIG (Gold) | 2020 RMR
Sticker | Tyloo | Katowice 2019
Sticker | Renegades (Foil) | Berlin 2019
Sticker | Speedy T
Sealed Graffiti | BOOM (Jungle Green)
Sticker | frozen | Berlin 2019
Sticker | rain | London 2018
Sticker | yuurih | Katowice 2019
Sealed Graffiti | Smirk (Tiger Orange)
Sealed Graffiti | Shining Star (Battle Green)
Sticker | Golden (Foil) | Berlin 2019
Sealed Graffiti | Dizzy (Battle Green)
Sealed Graffiti | NT (Desert Amber)
Sealed Graffiti | Smirk (Tracer Yellow)
Sticker | Kimberly(Holo)
Sticker | Don't Worry(Holo)
P90 | Blind Spot (Field-Tested)
P2000 | Pulse (Battle-Scarred)
SCAR-20 | Green Marine (Well-Worn)
StatTrak™ Nova | Ghost Camo (Field-Tested)
P250 | Steel Disruption (Factory New)
StatTrak™ MP7 | Bloodsport (Battle-Scarred)
UMP-45 | Houndstooth (Field-Tested)
Sticker | Fnatic | MLG Columbus 2016
Sticker | Attacker | Katowice 2019
Sealed Graffiti | NT (Cash Green)
Sticker | autimatic | Katowice 2019
Sealed Graffiti | Grimace (Princess Pink)
Sticker | AZR | Katowice 2019
Sticker | f0rest (Foil) | Berlin 2019
Sealed Graffiti | Fart (Monarch Blue)
London 2018 Returning Challengers Autograph Capsule
Sticker | woxic | Katowice 2019
Sticker | Fnatic | Boston 2018
Sealed Graffiti | Little Crown (Tiger Orange)
Sealed Graffiti | Oops (Battle Green)
Sealed Graffiti | Grimace (Monster Purple)
Sealed Graffiti | Little Crown (Jungle Green)
Sealed Graffiti | Little EZ (Princess Pink)
Sealed Graffiti | Fart (Tracer Yellow)
Sealed Graffiti | Smirk (War Pig Pink)
Sticker | Poorly Drawn Bloody Darryl
Sealed Graffiti | Rly (Tiger Orange)
Sealed Graffiti | Smooch (Jungle Green)
Five-SeveN | Retrobution (Field-Tested)
AK-47 | The Oligarch (Battle-Scarred)
AK-47 | Point Disarray (Factory New)
StatTrak™ MAG-7 | Cobalt Core (Factory New)
Dual Berettas | Moon in Libra (Minimal Wear)
StatTrak™ Glock-18 | Grinder (Factory New)
AUG | Plague (Field-Tested)
SSG 08 | Dark Water (Minimal Wear)
Souvenir Five-SeveN | Hot Shot (Battle-Scarred)
SG 553 | Cyrex (Minimal Wear)
M4A4 | Global Offensive (Factory New)
StatTrak™ SCAR-20 | Trail Blazer (Battle-Scarred)
AK-47 | Bloodsport (Factory New)
Tec-9 | Ice Cap (Well-Worn)
StatTrak™ MAG-7 | SWAG-7 (Well-Worn)
Souvenir Charm | Austin 2025 Highlight | Spinx Train Triple Kill
Souvenir Charm | Budapest 2025 Highlight | TeSeS site purge
Souvenir Charm | Budapest 2025 Highlight | w0nderful vs FURIA on Train
Sticker | Jame (Embroidered) | Budapest 2025
Sticker | MAJ3R (Embroidered) | Budapest 2025
Sealed Graffiti | OMG (Tracer Yellow)
Sealed Graffiti | Smooch (Cash Green)
Sealed Graffiti | Chef Kiss (Frog Green)
Sticker | svyat (Foil) | Berlin 2019
Sticker | Kaze | Katowice 2019
Sealed Graffiti | BOOM (Brick Red)
Sealed Graffiti | Grimace (Frog Green)
Sealed Graffiti | Silver Bullet (Monster Purple)
Sealed Graffiti | Smooch (Tracer Yellow)
Sealed Graffiti | Oops (Blood Red)
Sticker | NiKo (Holo) | Shanghai 2024
Sticker | FaZe Clan (Holo) | Shanghai 2024
Sticker | Jame (Glitter) | Shanghai 2024
Sticker | ICY (Holo) | Austin 2025
Souvenir Charm | Austin 2025 Highlight | Failed Lurk
Souvenir Charm | Austin 2025 Highlight | Running Galil
Sticker | ropz (Holo) | Shanghai 2024
Sticker | ZywOo (Holo) | Shanghai 2024
Sticker | magixx (Gold, Champion) | Shanghai 2024
Sticker | Sonic (Holo) | Austin 2025
Sealed Graffiti | Goofy (Tracer Yellow)
Sealed Graffiti | Thoughtfull (Tracer Yellow)
Sealed Graffiti | Dead Now (Brick Red)
Sealed Graffiti | Dead Now (Monarch Blue)
Sealed Graffiti | 200 IQ (Wire Blue)
Sealed Graffiti | Applause (Jungle Green)
Sealed Graffiti | Applause (Tiger Orange)
Sticker | dexter (Foil) | Berlin 2019
Sticker | compLexity Gaming (Foil) | Berlin 2019
Sticker | Rickeh | Katowice 2019
Sticker | Coutdown(Holo)
AWP | Exothermic (Battle-Scarred)
StatTrak™ P250 | Hive (Minimal Wear)
G3SG1 | Orange Crash (Well-Worn)
AK-47 | Case Hardened (Field-Tested)
StatTrak™ Five-SeveN | Nightshade (Minimal Wear)
AK-47 | Aphrodite (Factory New)
Sticker | Ninjas in Pyjamas | Cologne 2014
Sticker | Pegasus (Holo)
Sticker | Astralis | Atlanta 2017
AUG | Spalted Wood (Factory New)
StatTrak™ P250 | Valence (Factory New)
SG 553 | Danger Close (Well-Worn)
P250 | Mint Kimono (Battle-Scarred)
MAG-7 | Storm (Battle-Scarred)
M4A4 | X-Ray (Minimal Wear)
MP5-SD | Nitro (Minimal Wear)
Souvenir MP5-SD | Co-Processor (Factory New)
StatTrak™ G3SG1 | Murky (Minimal Wear)
Souvenir G3SG1 | Polar Camo (Minimal Wear)
Sticker | dupreeh (Holo) | Rio 2022
Sealed Graffiti | Little EZ (Brick Red)
Sticker | sjuush (Holo) | Antwerp 2022
Sealed Graffiti | Silver Bullet (Tracer Yellow)
Patch | Anchors Aweigh
Sealed Graffiti | Goofy (Violent Violet)
Sealed Graffiti | Question Mark (Tiger Orange)
Sealed Graffiti | Thoughtfull (Bazooka Pink)
Sticker | PGL (Gold) | Stockholm 2021
Sticker | No Pats
Sticker | khaN (Holo) | Austin 2025
Souvenir Charm | Austin 2025 Highlight | Jimpphat Clean Sweep
Sticker | snow (Holo) | Austin 2025
Sticker | hallzerk (Holo) | Austin 2025
Sticker | saffee (Holo) | Shanghai 2024
Souvenir Charm | Austin 2025 Highlight | Quick Double Kill
Souvenir Charm | Austin 2025 Highlight | Deagle Supremacy
Sticker | jottAAA (Holo) | Budapest 2025
Sticker | ropz (Gold) | Austin 2025
Sticker | Necron Ankh
Sticker | EspiranTo (Foil) | Berlin 2019
Sticker | bodyy | Katowice 2019
Sealed Graffiti | Denied (Battle Green)
Sticker | BnTeT | Katowice 2019
Sticker | Renegades (Foil) | Katowice 2019
Sealed Graffiti | OMG (Monarch Blue)
Sealed Graffiti | Oops (Shark White)
Sealed Graffiti | Kiss (Dust Brown)
Sticker | Freeman (Foil) | Berlin 2019
Sticker | Roosty Boosty
StatTrak™ FAMAS | Neural Net (Field-Tested)
Galil AR | Cerberus (Minimal Wear)
StatTrak™ Glock-18 | Vogue (Factory New)
SG 553 | Cyrex (Battle-Scarred)
StatTrak™ PP-Bizon | Photic Zone (Minimal Wear)
StatTrak™ USP-S | Jawbreaker (Minimal Wear)
SSG 08 | Threat Detected (Factory New)
